TIME,LX,LY,RX,RY
554262330,92.6,648.54,79.27,648.36
554264326,85.06,647.05,84.3,648.73
554266315,90.84,637.12,84.77,649.84
554268347,92.67,646.09,86.87,651.19
554270343,93.5,645.28,80.71,647.83
554272343,92.53,637.37,77.12,638.98
554274349,90.33,639.73,83.57,647.69
554276341,90,648.35,87.46,645.02
554278343,94.19,656.61,82.89,647.2
554280341,88.58,634.09,77.35,643.48
554282339,89.78,645.13,77.29,638.67
554284341,89.48,641.97,81.47,640.79
554286340,90.9,643.06,78.58,641.29
554288345,88.01,639.89,77.63,640.81
554290342,90.01,645.54,78.92,640
554292344,98.03,640.62,81.71,644.41
554294343,92.84,638.99,75.69,641.62
554296343,97.03,652.95,83.07,646.11
554298356,83.35,642.24,76.63,644.72
554300351,90.03,646.31,85.85,649.73
554302351,98.51,644.32,76.44,636.28
554304350,100.97,647.83,79.63,645.81
554306350,96.17,649.73,79.14,638.69
554308337,96.32,656.05,79.16,641.87
554310357,95.91,650.68,70,630.58
554312351,102.65,656.42,77.72,643.24
554314352,96.2,643.69,75.11,648.41
554316351,99.17,645.97,73.48,641.69
554318352,96.94,642.37,72.2,648.34
554320353,93.8,648.71,76.67,640.14
554322352,94.6,642.72,73.35,640.89
554324353,97.6,643.44,77.16,645.28
554326352,93.75,646.01,80.01,634.11
554328354,99.14,643.25,81.45,638.12
554330327,88.31,637.57,74.04,639.41
554332346,98.5,651.9,70.21,632.47
554334332,97.38,638.39,79.67,630.05
554336367,103.31,653.82,75.12,635.16
554338366,92.98,650.27,73.16,636.24
554340386,97.62,659.37,70.54,632.64
554342354,93.86,645.26,72.3,635.5
554344361,103.2,651.26,70.69,642.48
554346363,91.04,656.96,74.06,640.07
554348367,93.14,638.91,71.17,635.29
554350363,94.05,640.12,80.15,639.44
554352362,96.86,650.42,70.08,636.71
554354361,102.4,649.2,67.33,638.07
554356362,96.15,643.17,77.68,642.61
554358348,93.24,648.59,75.79,648.21
554360378,90.58,649.65,73.8,637.02
554362360,100.24,643.34,75.71,632.22
554364363,94.1,645.53,78.28,643.44
554366360,88.97,635.97,74.86,635.82
554368360,97.5,638.96,74.06,642.41
554370361,92.56,650.22,75.86,640.27
554372359,96.97,645.2,74.64,642.08
554374360,98.29,648.63,82.09,645.42
554376361,85.99,640.65,80.12,637.58
554378362,95.13,639.1,79.06,640.88
554380369,101.52,647.67,79.13,645.69
554382366,97.34,647.89,85.81,647.21
554384360,92.17,648.42,81.85,645.91
554386360,95.29,647.34,80.96,643.74
554388366,98.08,652.33,80.89,644.19
554390370,92.71,646.55,81.38,644.7
554392370,90.54,644.46,81.9,650.76
554394371,91.94,637.42,71.2,641.52
554396358,91.99,647.15,80.89,638.57
554398356,95.24,653.31,83.6,648.18
554400397,93.46,646.81,87.45,651.2
554402372,97.3,644.41,80.52,640.78
554404373,102.99,648.51,81.39,646.97
554406374,95.58,647.06,84.61,645.47
554408353,99.17,648.25,74.58,647.53
554410387,93.15,653.36,76.79,650.74
554412373,96.4,647.36,84.72,644.9
554414374,93.23,655.39,77.95,639.95
554416375,94.79,637.97,79.68,644.54
554418370,95.8,631.46,73.95,647.71
554420427,92.72,643.31,80.52,645.64
554422375,92.75,643.9,81.34,641.05
554424402,98.94,651.06,73.73,642.81
554426372,92.24,650.04,74.76,648.07
554428372,97.33,649.74,76.67,650.99
554430370,95.09,645.16,72.78,643.21
554432373,85.34,648.02,77.95,642.28
554434371,91.23,652.76,78.4,643.23
554436371,95.02,646.97,75.31,636.71
554438381,95.04,644.83,81.19,637.97
554440382,93.65,640.88,79,645.94
554442382,90.73,651.69,79.05,643.87
554444382,90.96,645.74,71.04,642.07
554446383,89.67,636.39,78.32,643.06
554448384,94.47,644.91,75.43,647.43
554450383,88.57,640.82,72.08,640.63
554452383,95.8,655.17,81.47,639.67
554454382,91.04,646.56,82.5,650.15
554456367,88.29,655.89,73.13,641.67
554458373,91.05,645.1,71.99,644.31
554460373,96.36,649.62,69.41,641.12
554462361,102.32,652.01,71.28,636.79
554464361,100.81,650.25,74.81,646.87
554466403,91.71,657.24,70.04,639.85
554468384,93.56,639.59,77.58,650.61
554470384,100.71,651.87,73.42,652.84
554472370,99.8,646.54,75.39,646.06
554474374,93.31,643.1,75.19,649.51
554476358,102.06,648.92,74.71,651
554478385,94.34,660.4,77.17,647.18
554480373,93.8,647.88,70.33,639.54
554482392,95.81,648.89,73.62,647.91
554484395,97.05,644.94,68.96,644.94
554486387,101.61,645.33,66.25,642.53
554488392,96.44,649.94,71.22,646.18
554490391,103.46,651.08,75.55,648.08
554492393,98.15,652.52,72.55,646.09
554494390,91.46,647.1,73.42,647.38
554496392,100.61,653.7,74.5,643.07
554498393,96.85,653.87,72.93,642.4
554500392,90.18,648.87,76.51,653.18
554502393,93.6,643.28,70.25,647.24
554504447,96.26,652.59,74,646.92
554506397,98.96,655.15,74.48,651.09
