CNT,TIME,X,Y,TRIALS
43333,712.77087,0.58249,0.42488,start
43334,712.78717,0.58199,0.42019,0
43335,712.80359,0.58429,0.39,0
43336,712.82013,0.58487,0.4037,0
43337,712.83667,0.5846,0.39767,0
43338,712.85297,0.58202,0.38458,0
43339,712.87006,0.57596,0.37492,0
43340,712.88574,0.57581,0.3768,0
43341,712.90234,0.56716,0.38,0
43342,712.9187,0.56993,0.37346,0
43343,712.93524,0.57012,0.37655,0
43344,712.95154,0.56493,0.38463,0
43345,712.96808,0.5741,0.37257,0
43346,712.98444,0.57462,0.37738,0
43347,713.00092,0.56845,0.40336,0
43348,713.01727,0.56663,0.37252,0
43349,713.03375,0.56663,0.37257,0
43350,713.05011,0.57349,0.38312,0
43351,713.06653,0.57946,0.38604,0
43352,713.08301,0.5793,0.38293,0
43353,713.09937,0.58123,0.38072,0
43354,713.11572,0.57708,0.41026,0
43355,713.1322,0.57708,0.41026,0
43356,713.14856,0.57507,0.3894,0
43357,713.16516,0.6489,0.35814,0
43358,713.18152,0.6489,0.35814,0
43359,713.19794,0.7623,0.35841,0
43360,713.21436,0.75212,0.37757,0
43361,713.23071,0.75212,0.37757,0
43362,713.24713,0.7546,0.38029,0
43363,713.26367,0.75108,0.38012,0
43364,713.28015,0.75163,0.37695,0
43365,713.29645,0.76799,0.35715,0
43366,713.31287,0.75076,0.35984,0
43367,713.32935,0.7508,0.35824,0
43368,713.34583,0.76516,0.34677,0
43369,713.36212,0.77482,0.35862,0
43370,713.37842,0.7742,0.36179,0
43371,713.39514,0.77794,0.34321,0
43372,713.41138,0.76806,0.36624,0
43373,713.42786,0.76682,0.37267,0
43374,713.44434,0.7752,0.36935,0
43375,713.46069,0.76524,0.35938,0
43376,713.47717,0.76513,0.36107,0
43377,713.49359,0.75359,0.35805,0
43378,713.51001,0.78723,0.3578,0
43379,713.52655,0.7873,0.35746,0
43380,713.54303,0.76755,0.36483,0
43381,713.55951,0.75051,0.37842,stop
43382,713.57587,0.7501,0.37963,start
43383,713.59229,0.83363,0.38639,0
43384,713.6087,0.83059,0.4014,0
43385,713.62518,0.8297,0.40454,0
43386,713.6416,0.82101,0.39725,0
43387,713.65778,0.81838,0.42117,0
43388,713.6745,0.81829,0.42149,0
43389,713.69086,0.81999,0.40675,0
43390,713.70721,0.82565,0.4312,0
43391,713.72375,0.82643,0.42849,0
43392,713.74011,0.81714,0.40807,0
43393,713.75653,0.82457,0.41365,0
43394,713.77295,0.82545,0.41052,0
43395,713.78931,0.8282,0.38726,0
43396,713.80585,0.82497,0.3803,0
43397,713.82239,0.82583,0.37706,0
43398,713.83881,0.82253,0.39895,0
43399,713.85504,0.82443,0.40635,0
