CNT	TIME	CX	CY	USER
43333	712.77087	-0.56823	0.595	stop=True
43334	712.78717	-0.56823	0.595	start=True
43335	712.80359	-0.56823	0.595	0
43336	712.82013	-0.56823	0.595	0
43337	712.83667	-0.56823	0.595	0
43338	712.85297	-0.56823	0.595	0
43339	712.87006	-0.56823	0.595	0
43340	712.88574	-0.56823	0.595	0
43341	712.90234	-0.56823	0.595	0
43342	712.9187	-0.56823	0.595	0
43343	712.93524	-0.56823	0.595	0
43344	712.95154	-0.56823	0.595	0
43345	712.96808	-0.56823	0.595	0
43346	712.98444	-0.56823	0.595	0
43347	713.00092	-0.56823	0.595	0
43348	713.01727	-0.56823	0.595	0
43349	713.03375	-0.56823	0.595	0
43350	713.05011	-0.56823	0.595	0
43351	713.06653	-0.56823	0.595	0
43352	713.08301	-0.56823	0.595	0
43353	713.09937	-0.56823	0.595	0
43354	713.11572	-0.56823	0.595	0
43355	713.1322	-0.56823	0.595	0
43356	713.14856	-0.56823	0.595	0
43357	713.16516	-0.56823	0.595	0
43358	713.18152	-0.56823	0.595	0
43359	713.19794	-0.56823	0.595	0
43360	713.21436	-0.56823	0.595	0
43361	713.23071	-0.56823	0.595	0
43362	713.24713	-0.56823	0.595	0
43363	713.26367	-0.56823	0.595	0
43364	713.28015	-0.56823	0.595	0
43365	713.29645	-0.56823	0.595	0
43366	713.31287	-0.56823	0.595	0
43367	713.32935	-0.56823	0.595	0
43368	713.34583	-0.56823	0.595	0
43369	713.36212	-0.56823	0.595	0
43370	713.37842	-0.56823	0.595	0
43371	713.39514	-0.56823	0.595	0
43372	713.41138	-0.56823	0.595	0
43373	713.42786	-0.56823	0.595	0
43374	713.44434	-0.56823	0.595	0
43375	713.46069	-0.56823	0.595	0
43376	713.47717	-0.56823	0.595	0
43377	713.49359	-0.56823	0.595	0
43378	713.51001	-0.56823	0.595	0
43379	713.52655	-0.56823	0.595	0
43380	713.54303	-0.56823	0.595	0
43381	713.55951	-0.56823	0.595	stop=True
43382	713.57587	-0.56823	0.595	start=True
43383	713.59229	-0.56823	0.595	0
43384	713.6087	-0.56823	0.595	0
43385	713.62518	-0.56823	0.595	0
43386	713.6416	-0.56823	0.595	0
43387	713.65778	-0.56823	0.595	0
