CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
46176	759.47736	1155673037763	0.65671	0.13982	759.31311	0.16425	1009	1	0.74058	0.26019	1	0.80479	0.28690	1	0.77269	0.27355	1	0.28169	0.44837	15.30791	0.99608	1	0.68662	0.43422	19.10633	1.00000	1	-0.03711	0.00397	0.58846	0.00314	1	0.02977	0.00539	0.58712	0.00408	1	-0.56615	0.63000	0	TRIALSTART=1493310002961
46177	759.49390	1155673096002	0.66734	0.15112	759.31311	0.18079	1009	1	0.77153	0.27488	1	0.79693	0.27591	1	0.78423	0.27540	1	0.28127	0.44936	14.80656	0.99185	1	0.68668	0.43470	19.08927	0.99577	1	-0.03711	0.00397	0.58846	0.00314	1	0.02977	0.00539	0.58712	0.00408	1	-0.56615	0.63000	0	TRIALSTART=1493310002961
46178	759.51013	1155673152966	0.67633	0.16069	759.31311	0.19702	1009	1	0.77152	0.27509	1	0.79686	0.27611	1	0.78419	0.27560	1	0.28192	0.44943	15.05976	0.99161	1	0.68664	0.43563	18.39672	0.99553	1	-0.03792	0.00378	0.61117	0.00342	1	0.03025	0.00524	0.59452	0.00408	1	-0.56615	0.63000	0	TRIALSTART=1493310002961
46179	759.52673	1155673211448	0.68411	0.16981	759.31311	0.21362	1009	1	0.76363	0.26983	1	0.80685	0.30672	1	0.78524	0.28828	1	0.28199	0.44932	14.97971	0.99136	1	0.68683	0.43499	18.41368	0.99528	1	-0.03792	0.00378	0.61117	0.00342	1	0.03025	0.00524	0.59452	0.00408	1	-0.56615	0.63000	0	0
46180	759.54321	1155673269343	0.71505	0.20081	759.31311	0.21362	1009	0	0.79769	0.24006	1	0.80484	0.30339	1	0.80127	0.27172	1	0.28193	0.44948	15.03552	0.99534	1	0.68677	0.43515	18.25719	0.99927	1	-0.03792	0.00378	0.61117	0.00342	1	0.03025	0.00524	0.59452	0.00408	1	-0.56615	0.63000	0	0
46181	759.55963	1155673327133	0.75864	0.23348	759.31311	0.21362	1009	0	0.79821	0.23254	1	0.80624	0.29974	1	0.80223	0.26614	1	0.28185	0.44959	15.04510	1.00384	1	0.68705	0.43527	18.51156	1.00400	1	-0.17684	0.01805	2.91662	0.00342	0	0.02896	0.00501	0.56811	0.00396	1	-0.56615	0.63000	0	0
46182	759.57697	1155673388106	0.76924	0.24336	759.31311	0.21362	1009	0	0.79764	0.24462	1	0.78325	0.28163	1	0.79045	0.26313	1	0.28188	0.44948	15.00623	1.00858	1	0.68720	0.43498	18.17919	1.00874	1	-0.17684	0.01805	2.91662	0.00342	0	0.02896	0.00501	0.56811	0.00396	1	-0.56615	0.63000	0	0
46183	759.59241	1155673442377	0.79587	0.26579	759.31311	0.21362	1009	0	0.80530	0.25827	1	0.78455	0.27795	1	0.79492	0.26811	1	0.28185	0.44959	15.04510	1.01332	1	0.68702	0.43530	18.44346	1.01348	1	-0.17684	0.01805	2.91662	0.00342	0	0.02896	0.00501	0.56811	0.00396	1	-0.56615	0.63000	0	0
46184	759.60883	1155673500167	0.79580	0.26502	759.31311	0.21362	1009	0	0.80562	0.25423	1	0.78585	0.27426	1	0.79573	0.26425	1	0.28182	0.44963	15.04264	1.01806	1	0.68705	0.43507	18.18663	1.01822	1	-0.17684	0.01805	2.91662	0.00342	0	0.02896	0.00501	0.56811	0.00395	1	-0.56615	0.63000	0	0
46185	759.62518	1155673557803	0.79587	0.26399	759.31311	0.21362	1009	0	0.80593	0.25019	1	0.78606	0.27368	1	0.79600	0.26193	1	0.28173	0.44968	14.69608	1.02280	1	0.68711	0.43520	18.00367	1.01898	1	-0.17684	0.01805	2.91662	0.00342	0	0.02896	0.00501	0.56811	0.00395	1	-0.56615	0.63000	0	0
